"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Hypericum barbatum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum richeri,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum rumeliacum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum maculatum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum tetrapterum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum hirsutum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum linarioides,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum olumpicum,,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum,Flower_HS,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum,Leaf_HS,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum,Stem_HS,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum maculatum (2003),EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum maculatum (2001),EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum maculatum (1998),EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum (2003),EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum (2001),EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum perforatum,EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum olympicum,EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum olympicum,EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Hypericum olympicum,EO,2007,Smelcerovic_2007,PHEROBASE,"Smelcerovic, A., Spiteller, M., Ligon, A. P., Smelcerovic, Z., & Raabe, N. (2007). Essential oil composition of Hypericum L. species from Southeastern Serbia and their chemotaxonomy. Biochemical Systematics and Ecology, 35(2), 99-113."
Daphne mezereum L.,Flower_DHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Daphne mezereum L.,Flower_VHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Daphne mezereum L.,Flower_SDE,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Phlox (Violet),Flower_DHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Phlox (Violet),Flower_VHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Phlox (White),Flower_VHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Phlox (White),Flower_SDE,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Padus avium Mill.,Flower_VHS,1990,Surburg_1990,PHEROBASE,"Surburg, H., Güntert, M., & Schwarze, B. (1990). Volatile constituents of European bird cherry flowers (Padus avium Mill.). Journal of Essential Oil Research, 2(6), 307-316."
Ocotea floribunda,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea holdrigeana,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea meziana 1,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea meziana 2,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea meziana 3,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea sinuata,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea tonduzii,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea valeriana,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea veraguensis,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Ocotea whitei,Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
"Ocotea ""los llanos""",Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
"Ocotea ""small leaf""",Leaf_EO,2007,Takaku_2007,PHEROBASE,"Takaku, S., Haber, W. A., & Setzer, W. N. (2007). Leaf essential oil composition of 10 species of Ocotea (Lauraceae) from Monteverde, Costa Rica. Biochemical Systematics and Ecology, 35(8), 525-532."
Zygopetalum mackayi,Flower_HS,1988,Tatsuka_1988,PHEROBASE,"Tatsuka, K., Kohama, M., & Suekane, S. (1988). Floral fragrance components of Zygopetalum mackayi (Orchidaceae). Agricultural and biological chemistry, 52(6), 1599-1600."
Actinidia chinensis Planch.,Flower_SDE,1990,Tatsuka_1990,PHEROBASE,"Tatsuka, K., Suekane, S., Sakai, Y., & Sumitani, H. (1990). Volatile constituents of kiwi fruit flowers: simultaneous distillation and extraction versus headspace sampling. Journal of Agricultural and Food Chemistry, 38(12), 2176-2180."
Actinidia chinensis Planch.,Flower_HS,1990,Tatsuka_1990,PHEROBASE,"Tatsuka, K., Suekane, S., Sakai, Y., & Sumitani, H. (1990). Volatile constituents of kiwi fruit flowers: simultaneous distillation and extraction versus headspace sampling. Journal of Agricultural and Food Chemistry, 38(12), 2176-2180."
Salix caprea (male),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Salix caprea (female),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Salix cinerea (male),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Salix cinerea (female),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Salix repens (male),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Salix repens (female),Flower_HS,1992,Tollsten_1992,PHEROBASE,"Tollsten, L., & Knudsen, J. T. (1992). Floral scent in dioecious Salix (Salicaceae)—a cue determining the pollination system?. Plant systematics and evolution, 182(3), 229-237."
Conopodium majus,Leaf_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Conopodium majus (N=1),Flower_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Conopodium majus (N=2),Flower_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Conopodium majus (N=3),Flower_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Conopodium majus (N=1),Fruitstands_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Conopodium majus (N=2),Fruitstands_HS,1994,Tollsten_1994,PHEROBASE,"Tollsten, L., & Øvstedal, D. O. (1994). Differentiation in floral scent chemistry among populations of Conopodium majus (Apiaceae). Nordic Journal of Botany, 14(4), 361-368."
Angelica archangelica ssp. litoralis,Flower_HS,1994,Tollsten_Ovstedal_1994,PHEROBASE,"Tollsten, L., Knudsen, J. T., & Bergström, L. G. (1994). Floral scent in generalistic Angelica (Apiaceae)—an adaptive character?. Biochemical systematics and ecology, 22(2), 161-169."
Angelica archangelica ssp. archangelica,Flower_HS,1994,Tollsten_Ovstedal_1994,PHEROBASE,"Tollsten, L., Knudsen, J. T., & Bergström, L. G. (1994). Floral scent in generalistic Angelica (Apiaceae)—an adaptive character?. Biochemical systematics and ecology, 22(2), 161-169."
Angelica silvestris,Flower_HS,1994,Tollsten_Ovstedal_1994,PHEROBASE,"Tollsten, L., Knudsen, J. T., & Bergström, L. G. (1994). Floral scent in generalistic Angelica (Apiaceae)—an adaptive character?. Biochemical systematics and ecology, 22(2), 161-169."
Chloranthus spicatus,Flower_HS,1987,Wang_1987,PHEROBASE,"Wang, T., Huang, A., Sun, Y., Wu, Z., & Liu, M. (1987). Isolation and identification of the constituents of volatiles of flowers of Chloranthus spicatus (Tunb.) Makino. Acta Bot. Sin, 29(2), 189-92."
Magnolia sieboldii ssp. japonica,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
Magnolia praecocissima,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
Magnolia praecocissima v. borealis,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
Magnolia tomentosa,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
Magnolia salicifolia,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
Magnolia obovata,Flower_HS,1992,Yasukawa_1992,PHEROBASE,"Yasukawa, S., Kato, H., Yamaoka, R., Tanaka, H., Arai, H., & Kawano, S. (1992). Reproductive and pollination biology of Magnolia and its allied genera (Magnoliaceae). I. Floral volatiles of several Magnolia and Michelia species and their roles in attracting insects. Plant Species Biology, 7(2?3), 121-140."
